Time	A	B	C	D	E	F	G	H	I	J
9/15/1984	0.00173337	0.133205864	0.118857902	0.120053209	0	0	0	0.686440678	0.204747774	0.794372923
10/15/1984	0.001686941	0.109623964	0.120517928	0.120053209	0	0	0	0.596045198	0.020441807	0.79377876
11/15/1984	0.001671464	0.078393881	0.118193891	0.115397406	0	0	0	0.34180791	0	0.792541186
12/15/1984	0.002414337	0.061822817	0.111553785	0.109743931	0	0	0	0.254237288	0	0.792333089
1/15/1985	0.002398861	0.056724028	0.10126162	0.101097439	0.094367722	0.026805506	0.035998539	0.002824859	0	0.794449145
2/15/1985	0.001671464	0.049713193	0.099601594	0.102760226	0.094367722	0.026805506	0.035998539	0.115819209	0	0.800587654
3/15/1985	0.001222645	0.057998725	0.111553785	0.112736947	0.094367722	0.026805506	0.035998539	0.375706215	0	0.812684923
4/15/1985	0.00106788	0.065646909	0.126494024	0.126371799	0.094367722	0.026805506	0.035998539	0.553672316	0.096933729	0.830119871
5/15/1985	0.000417866	0.096239643	0.132138114	0.133355504	0.094367722	0.026805506	0.035998539	0.675141243	0.127596439	0.852135088
6/15/1985	0.000526202	0.119821542	0.134462151	0.137346192	0.094367722	0.026805506	0.035998539	0.762711864	0.252555226	0.876148297
7/15/1985	0.000154765	0.126832377	0.135126162	0.144995012	0.094367722	0.026805506	0.035998539	0.878531073	0.554566436	0.898970285
8/15/1985	0	0.135755258	0.132138114	0.13767875	0.094367722	0.026805506	0.035998539	0.833333333	0.369271348	0.918913629
9/15/1985	0.000139289	0.126195029	0.126494024	0.130695045	0.094367722	0.026805506	0.035998539	0.768361582	0.309594461	0.932112475
10/15/1985	0.000619061	0.090503505	0.124169987	0.127369471	0.094367722	0.026805506	0.035998539	0.593220339	0.006594131	0.938312504
11/15/1985	0.000882162	0.066921606	0.127158035	0.132690389	0.094367722	0.026805506	0.035998539	0.392655367	0	0.939418704
12/15/1985	0.001207169	0.039515615	0.126494024	0.132357832	0.094367722	0.026805506	0.035998539	0.019774011	0	0.936862137
1/15/1986	0.001392887	0.035054175	0.114873838	0.123046225	0.188991877	0.055123559	0.073233573	0.132768362	0	0.930705082
2/15/1986	0.001717894	0.037603569	0.084661355	0.087462587	0.188991877	0.055123559	0.073233573	0.166666667	0	0.921244464
3/15/1986	0.002275049	0.040152964	0.0375166	0.031260392	0.188991877	0.055123559	0.073233573	0.358757062	0.022420046	0.909948452
4/15/1986	0.002615532	0.051625239	0.021580345	0.013634852	0.188991877	0.055123559	0.073233573	0.531073446	0.048466864	0.897248705
5/15/1986	0.003760795	0.070108349	0.036188579	0.03658131	0.188991877	0.055123559	0.073233573	0.655367232	0.083086053	0.884986017
6/15/1986	0.003575077	0.101338432	0.037184595	0.041237113	0.188991877	0.055123559	0.073233573	0.774011299	0.290801187	0.873272252
7/15/1986	0.002785774	0.112173359	0.014608234	0.014965081	0.188991877	0.055123559	0.073233573	0.920903955	0.693372898	0.863020735
8/15/1986	0.003760795	0.118546845	0.008632138	0.01263718	0.188991877	0.055123559	0.073233573	0.807909605	0.342565117	0.855445632
9/15/1986	0.003172687	0.11153601	0.008964143	0.01130695	0.188991877	0.055123559	0.073233573	0.788135593	0.266073195	0.850952221
10/15/1986	0.003358405	0.082855322	0.000332005	0	0.188991877	0.055123559	0.073233573	0.579096045	0.006923838	0.850182578
11/15/1986	0.00427152	0.036966221	0	0.003658131	0.188991877	0.055123559	0.073233573	0.316384181	0	0.856133113
12/15/1986	0.004364379	0.012746973	0.002988048	0.009644164	0.188991877	0.055123559	0.073233573	0.240112994	0	0.871932059
1/15/1987	0.006918005	0.01402167	0.019588313	0.025939475	0.265793868	0.083796613	0.111462179	0.186440678	0	0.894978201
2/15/1987	0.009394249	0.016571064	0.026560425	0.028599933	0.265793868	0.083796613	0.111462179	0.274011299	0	0.922545395
3/15/1987	0.008465658	0.017845762	0.029548473	0.031925507	0.265793868	0.083796613	0.111462179	0.370056497	0	0.949805178
4/15/1987	0.010972854	0.024219248	0.035524568	0.038909212	0.265793868	0.083796613	0.111462179	0.508474576	0.019782394	0.975147349
5/15/1987	0.010957378	0.057361377	0.039840637	0.043565015	0.265793868	0.083796613	0.111462179	0.703389831	0.270029674	0.993655547
6/15/1987	0.011297861	0.093690249	0.046480744	0.048885933	0.265793868	0.083796613	0.111462179	0.858757062	0.533465216	1
7/15/1987	0.011560962	0.108349267	0.052788845	0.054206851	0.265793868	0.083796613	0.111462179	0.923728814	0.73062974	0.996015155
8/15/1987	0.015940818	0.112173359	0.058432935	0.061523113	0.265793868	0.083796613	0.111462179	0.872881356	0.515661062	0.985468293
9/15/1987	0.016792026	0.099426386	0.055112882	0.059195211	0.265793868	0.083796613	0.111462179	0.742937853	0.168150346	0.973235307
10/15/1987	0.0106788	0.049075844	0.052124834	0.054539408	0.265793868	0.083796613	0.111462179	0.451977401	0	0.963817923
11/15/1987	0.008775188	0.021669853	0.050464807	0.052211506	0.265793868	0.083796613	0.111462179	0.437853107	0.001978239	0.958050424
12/15/1987	0.011855016	0.003186743	0.043492696	0.043232458	0.265793868	0.083796613	0.111462179	0.288135593	0	0.950953071
