id,name,latitude,longitude,capacity,landmark,online_date
5,State St & Harrison St,41.87396,-87.62774,19,30,2013-06-28 05:00:00
13,Wilton Ave & Diversey Pkwy,41.9325,-87.65268,19,66,2013-06-28 05:00:00
14,Morgan St & 18th St,41.858086,-87.65107,15,163,2013-06-28 05:00:00
15,Racine Ave & 18th St,41.85818,-87.65649,15,164,2013-06-28 05:00:00
17,Wood St & Division St,41.90332,-87.67273,15,246,2013-06-28 05:00:00
19,Loomis St & Taylor St,41.869415,-87.660995,15,139,2013-06-28 05:00:00
20,Sheffield Ave & Kingsbury St,41.90959,-87.653496,15,154,2013-06-28 05:00:00
21,Aberdeen St & Jackson Blvd,41.877728,-87.654785,15,157,2013-06-28 05:00:00
22,May St & Taylor St,41.869484,-87.65549,15,160,2013-06-28 05:00:00
23,Orleans St & Elm St,41.902924,-87.63772,15,172,2013-06-28 05:00:00
24,Fairbanks Ct & Grand Ave,41.89186,-87.62062,15,262,2013-06-28 05:00:00
25,Michigan Ave & Pearson St,41.89766,-87.62351,23,34,2013-06-28 05:00:00
26,McClurg Ct & Illinois St,41.89102,-87.6173,23,51,2013-06-28 05:00:00
27,Larrabee St & North Ave,41.91021,-87.6435,19,174,2013-06-28 05:00:00
28,Larrabee St & Menomonee St,41.91468,-87.64332,15,282,2013-06-28 05:00:00
29,Noble St & Milwaukee Ave,41.90068,-87.6626,15,290,2013-06-28 05:00:00
30,Ashland Ave & Augusta Blvd,41.899643,-87.6677,15,248,2013-06-28 05:00:00
31,Franklin St & Chicago Ave,41.8968,-87.635635,23,17,2013-06-28 05:00:00
32,Racine Ave & Congress Pkwy,41.87464,-87.65703,19,76,2013-06-28 05:00:00
33,State St & Van Buren St,41.877182,-87.627846,27,3,2013-06-28 05:00:00
34,Cannon Dr & Fullerton Ave,41.926758,-87.63443,15,124,2013-06-28 05:00:00
36,Franklin St & Jackson Blvd,41.87771,-87.63532,27,19,2013-06-28 05:00:00
37,Dearborn St & Adams St,41.879356,-87.62979,19,20,2013-06-28 05:00:00
42,Wabash Ave & Cermak Rd,41.853237,-87.625336,15,170,2013-06-28 05:00:00
43,Michigan Ave & Washington St,41.883892,-87.62465,43,1,2013-06-28 05:00:00
44,State St & Randolph St,41.88473,-87.62773,27,2,2013-06-28 05:00:00
45,Michigan Ave & Congress Pkwy,41.876064,-87.624435,15,40,2013-06-28 05:00:00
46,Wells St & Walton St,41.89993,-87.63443,19,46,2013-06-28 05:00:00
47,State St & Kinzie St,41.88918,-87.6277,15,50,2013-06-28 05:00:00
48,Larrabee St & Kingsbury St,41.897762,-87.64288,27,12,2013-06-28 05:00:00
49,Dearborn St & Monroe St,41.88132,-87.629524,23,49,2013-06-28 05:00:00
50,Clark St & Congress Pkwy,41.87593,-87.630585,27,9,2013-06-28 05:00:00
51,Clark St & Randolph St,41.884575,-87.63189,31,5,2013-06-28 05:00:00
52,Michigan Ave & Lake St,41.88606,-87.62429,23,43,2013-06-28 05:00:00
53,Wells St & Erie St,41.893833,-87.63419,19,64,2013-06-28 05:00:00
54,Ogden Ave & Chicago Ave,41.896362,-87.65406,19,44,2013-06-28 05:00:00
55,Halsted St & James M Rochford St,41.86586,-87.646614,15,166,2013-06-28 05:00:00
56,Desplaines St & Kinzie St,41.888718,-87.64445,19,39,2013-06-28 05:00:00
57,Clinton St & Roosevelt Rd,41.86712,-87.64109,15,327,2013-06-28 05:00:00
58,Ashland Ave & Armitage Ave,41.91786,-87.66892,15,25,2013-06-28 05:00:00
59,Wabash Ave & Roosevelt Rd,41.867172,-87.62595,19,31,2013-06-28 05:00:00
60,Dayton St & North Ave,41.91058,-87.64942,19,58,2013-06-28 05:00:00
61,Wood St & Milwaukee Ave,41.907654,-87.672554,15,221,2013-06-28 05:00:00
62,McCormick Place,41.851376,-87.618835,15,106,2013-06-28 05:00:00
66,Clinton St & Lake St,41.885834,-87.64138,19,21,2013-06-28 05:00:00
67,Sheffield Ave & Fullerton Ave,41.925602,-87.65371,15,60,2013-06-28 05:00:00
68,Clinton St & Tilden St,41.875885,-87.64079,23,37,2013-06-28 05:00:00
69,Damen Ave & Pierce Ave,41.909397,-87.67769,19,65,2013-06-28 05:00:00
71,Morgan St & Lake St,41.885483,-87.652306,15,72,2013-06-28 05:00:00
72,State St & 16th St,41.860123,-87.62773,15,148,2013-06-28 05:00:00
73,Jefferson St & Monroe St,41.88042,-87.642746,19,38,2013-06-28 05:00:00
74,Kingsbury St & Erie St,41.893845,-87.64185,23,265,2013-06-28 05:00:00
75,Canal St & Jackson Blvd,41.878113,-87.63997,35,138,2013-06-28 05:00:00
76,Lake Shore Dr & Monroe St,41.88105,-87.61697,11,300,2013-06-28 05:00:00
77,Clinton St & Madison St,41.881584,-87.64128,23,301,2013-06-28 05:00:00
80,Aberdeen St & Madison St,41.88149,-87.654755,19,156,2013-06-28 05:00:00
81,Daley Center Plaza,41.88434,-87.63018,47,23,2013-06-28 05:00:00
84,Green St & Milwaukee Ave,41.89173,-87.64873,19,33,2013-06-28 05:00:00
85,Michigan Ave & Oak St,41.90096,-87.62378,15,42,2013-06-28 05:00:00
86,Eckhart Park,41.896374,-87.66098,15,289,2013-06-28 05:00:00
87,Racine Ave & Fullerton Ave,41.925564,-87.6584,19,189,2013-06-28 05:00:00
88,May St & Randolph St,41.88397,-87.655685,15,155,2013-06-28 05:00:00
90,Millennium Park,41.88103,-87.624084,35,8,2013-06-28 05:00:00
91,Clinton St & Washington Blvd,41.88338,-87.64117,31,10,2013-06-28 05:00:00
92,Carpenter St & Huron St,41.894554,-87.65345,19,196,2013-06-28 05:00:00
93,Sheffield Ave & Willow St,41.91369,-87.652855,15,190,2013-06-28 05:00:00
94,Lincoln Ave & Armitage Ave,41.918274,-87.638115,19,146,2013-06-28 05:00:00
97,Museum Campus,41.86521,-87.61776,19,29,2013-06-28 05:00:00
98,LaSalle St & Washington St,41.882664,-87.63253,15,6,2013-07-15 05:00:00
99,Lake Shore Dr & Ohio St,41.89257,-87.614494,19,337,2013-07-15 05:00:00
100,Orleans St & Merchandise Mart Plaza,41.888245,-87.63639,23,13,2013-07-16 05:00:00
181,LaSalle St & Illinois St,41.89075,-87.63206,19,430,2013-07-21 05:00:00
115,Sheffield Ave & Wellington Ave,41.936253,-87.653564,23,67,2013-07-22 05:00:00
147,Indiana Ave & 26th St,41.8457,-87.62248,15,212,2013-07-23 05:00:00
150,Fort Dearborn Dr & 31st St,41.838554,-87.608215,11,220,2013-07-23 05:00:00
169,Canal St & Harrison St,41.874336,-87.639565,15,326,2013-07-23 05:00:00
178,State St & 19th St,41.856594,-87.62754,15,408,2013-07-23 05:00:00
135,Halsted St & 21st St,41.85378,-87.64665,11,162,2013-07-24 05:00:00
179,Martin Luther King Dr & Oakwood Blvd,41.82256,-87.61615,15,420,2013-07-24 05:00:00
129,Blue Island Ave & 18th St,41.857555,-87.66154,15,135,2013-07-25 05:00:00
134,Peoria St & Jackson Blvd,41.87775,-87.649635,19,158,2013-07-25 05:00:00
153,Southport Ave & Wellington Ave,41.93584,-87.6637,19,228,2013-07-25 05:00:00
162,Damen Ave & Wellington Ave,41.93588,-87.67842,15,268,2013-07-25 05:00:00
166,Ashland Ave & Wrightwood Ave,41.92883,-87.66851,15,296,2013-07-25 05:00:00
167,Damen Ave & Coulter St,41.8492,-87.67564,11,306,2013-07-25 05:00:00
170,Clinton St & 18th St,41.85795,-87.64082,15,329,2013-07-25 05:00:00
171,May St & Cullerton St,41.855137,-87.65413,11,331,2013-07-25 05:00:00
116,Western Ave & Winnebago Ave,41.91553,-87.68705,15,68,2013-07-26 05:00:00
123,California Ave & Milwaukee Ave,41.922695,-87.69715,15,84,2013-07-26 05:00:00
130,Damen Ave & Division St,41.90331,-87.67695,15,136,2013-07-26 05:00:00
158,Milwaukee Ave & Wabansia Ave,41.912617,-87.68139,15,243,2013-07-26 05:00:00
159,Claremont Ave & Hirsch St,41.90778,-87.68585,11,245,2013-07-26 05:00:00
160,Campbell Ave & North Ave,41.910534,-87.68955,15,257,2013-07-26 05:00:00
183,Damen Ave & Augusta Blvd,41.899715,-87.67723,15,142,2013-07-26 05:00:00
185,Stave St & Armitage Ave,41.91774,-87.69139,11,266,2013-07-26 05:00:00
119,Ashland Ave & Lake St,41.88541,-87.66732,19,73,2013-07-28 05:00:00
122,Congress Pkwy & Ogden Ave,41.87501,-87.67328,15,81,2013-07-28 05:00:00
146,Loomis St & Jackson Blvd,41.877945,-87.66201,11,206,2013-07-28 05:00:00
174,Canal St & Madison St,41.88209,-87.63983,23,341,2013-07-28 05:00:00
186,Ogden Ave & Race Ave,41.891796,-87.65875,15,194,2013-07-28 05:00:00
112,Green St & Randolph St,41.88408,-87.64868,15,53,2013-07-29 05:00:00
