NUMBER OF POTHOLES FILLED ON BLOCK	Ward	LATITUDE	LONGITUDE
10	42	41.88550229	-87.61373821
25	42	41.88776495	-87.61752395
50	42	41.88797009	-87.62064631
20	42	41.88829675	-87.6245105
30	42	41.88818518	-87.62444572
25	42	41.88819338	-87.62222587
20	42	41.88775277	-87.61732981
6	2	41.86911507	-87.67596572
3	25	41.86898705	-87.68537063
3	42	41.88802397	-87.62215423
30	42	41.88812622	-87.62175029
5	42	41.88963564	-87.6250077
2	42	41.88786605	-87.61890847
5	42	41.8845148	-87.62064346
1	42	41.88596742	-87.62067997
2	42	41.8874417	-87.61743991
2	42	41.88799536	-87.62067928
4	42	41.88824123	-87.62235303
3	42	41.88832637	-87.62454156
3	2	41.86731466	-87.63473402
8	42	41.88829602	-87.62376001
20	2	41.87550471	-87.63962492
50	42	41.88778869	-87.62026717
1	42	41.88072525	-87.62894778
2	42	41.88072609	-87.6289059
2	42	41.88071384	-87.62972713
25	42	41.89483299	-87.6312029
9	32	41.91231591	-87.68046328
20	32	41.9104913	-87.67761488
10	32	41.91226497	-87.68038444
8	42	41.90188396	-87.62834528
80	32	41.91137586	-87.67900347
5	27	41.88152862	-87.64735282
40	27	41.88239884	-87.6473829
65	27	41.88248201	-87.64738569
7	27	41.88146302	-87.64735059
15	2	41.87551597	-87.63962627
10	2	41.87804478	-87.63956051
20	2	41.87803189	-87.63956101
13	42	41.88132627	-87.62776293
5	42	41.88233001	-87.62782167
15	42	41.88601038	-87.62794595
10	42	41.89490377	-87.6281542
5	42	41.89683357	-87.62820355
10	42	41.89955218	-87.62827818
10	42	41.90074046	-87.62831713
2	27	41.88550264	-87.65682169
20	27	41.89236261	-87.64760572
10	27	41.88536038	-87.66696127
15	27	41.88532854	-87.66695976
15	27	41.88537963	-87.6643644
25	27	41.88541074	-87.66268222
20	27	41.88698902	-87.66182605
60	42	41.88797009	-87.62064631
1	42	41.88904262	-87.61398994
5	42	41.88865254	-87.61398039
15	42	41.88607924	-87.61412796
5	42	41.88447681	-87.62460956
5	42	41.8843127	-87.62053635
40	27	41.89518791	-87.64771347
30	27	41.8924068	-87.64760745
70	27	41.8951569	-87.64771344
2	27	41.88554341	-87.65451008
20	27	41.88550306	-87.65680075
25	27	41.88554401	-87.65447225
40	27	41.88558403	-87.6521405
16	42	41.8868099	-87.64132887
26	43	41.91076528	-87.62599783
1	27	41.88558343	-87.65217796
5	42	41.88925249	-87.62802342
5	2	41.86741359	-87.62741868
16	42	41.89198319	-87.61157901
5	42	41.88707875	-87.61398974
10	42	41.89432719	-87.62814069
8	42	41.88849749	-87.62801446
20	42	41.88749984	-87.61402681
3	27	41.89181253	-87.65839791
2	1	41.90569852	-87.67014308
3	42	41.89559472	-87.63417507
2	42	41.88204204	-87.62780611
20	2	41.87677112	-87.63962334
50	42	41.88781467	-87.62057288
6	27	41.89612426	-87.66403032
45	42	41.88935477	-87.62425221
10	42	41.8858361	-87.62794199
6	27	41.89883126	-87.66541463
15	2	41.87584395	-87.67651533
1	2	41.87502144	-87.67648715
5	42	41.9014382	-87.62833346
7	2	41.87438907	-87.63948643
15	27	41.8853186	-87.66723309
15	27	41.88534552	-87.6661545
31	32	41.91143124	-87.67909034
5	1	41.91012334	-87.67704664
4	1	41.9035467	-87.6667789
30	2	41.86947918	-87.63049353
5	27	41.8824928	-87.67177713
3	1	41.90220886	-87.66469499
60	27	41.88329212	-87.66729856
1	42	41.88003482	-87.63083689
35	42	41.88321809	-87.62786973
3	27	41.90342833	-87.66178464
20	42	41.88814178	-87.623549
0	42	41.89661326	-87.63270951
10	27	41.881056	-87.67173837
5	2	41.87779807	-87.63372017
1	42	41.8793864	-87.63375369
10	42	41.89483299	-87.6312029
10	27	41.8868044	-87.66193229
10	42	41.88934385	-87.61411016
25	2	41.87678886	-87.63827252
48	27	41.89307937	-87.65584819
5	27	41.88532854	-87.66695976
5	42	41.89192829	-87.61434899
10	42	41.88452247	-87.62228651
6	27	41.89253969	-87.65776544
60	27	41.89904244	-87.66248329
21	27	41.89966281	-87.66070106
16	27	41.89770573	-87.65768107
13	27	41.89509004	-87.65563342
12	27	41.89106141	-87.65902611
3	27	41.89627873	-87.65461182
30	27	41.89592257	-87.65492409
6	27	41.90212599	-87.66259683
50	27	41.89104872	-87.66015901
60	27	41.89982917	-87.66096088
10	27	41.89618863	-87.66358044
1	43	41.9053589	-87.64178277
2	27	41.90090834	-87.66266345
