"East North Central
(NSA)"	100.00 	100.84 	101.27 	101.72 	102.30 	102.65 	103.04 	103.21 	102.81 	103.01 	103.79 	103.69 	103.77 	104.34 	105.62 	105.99 	106.62 	106.92 	107.00 	107.59 	107.59 	108.33 	108.54 	108.84 	108.55 	108.31 	109.31 	110.21 	110.83 	111.98 	112.24 	112.71 	113.12 	113.24 	113.42 	113.58 	114.12 	114.26 	115.24 	116.12 	116.89 	117.75 	117.56 	118.03 	118.11 	118.48 	118.77 	118.24 	118.87 	119.49 	120.15 	121.50 	121.77 	123.03 	123.36 	123.92 	124.30 	124.52 	124.64 	124.79 	124.68 	126.04 	126.94 	128.15 	128.98 	129.30 	129.99 	129.97 	130.18 	130.00 	130.77 	130.71 	130.16 	130.84 	132.17 	132.39 	133.88 	134.32 	134.48 	134.76 	134.71 	135.20 	135.10 	135.21 	134.81 	136.31 	137.11 	137.66 	138.86 	139.60 	140.13 	140.43 	141.06 	141.67 	142.14 	141.98 	141.97 	143.49 	144.04 	144.97 	146.71 	147.14 	148.01 	148.59 	148.95 	149.36 	148.99 	149.58 	150.41 	150.18 	151.95 	152.80 	154.20 	155.35 	156.23 	156.56 	156.73 	157.00 	156.78 	157.11 	157.26 	158.05 	159.18 	160.67 	162.04 	162.87 	163.50 	163.71 	164.24 	164.95 	164.29 	164.40 	164.69 	165.39 	166.60 	167.57 	169.19 	170.11 	170.71 	171.26 	171.99 	171.94 	172.66 	172.04 	172.66 	172.91 	174.07 	175.52 	177.23 	178.23 	178.95 	179.92 	179.82 	180.35 	180.03 	180.35 	179.50 	180.91 	182.41 	183.95 	186.15 	187.12 	187.83 	188.27 	188.04 	188.94 	188.26 	188.21 	187.86 	187.36 	189.93 	192.13 	193.51 	195.16 	195.41 	195.08 	195.69 	196.04 	194.83 	194.44 	193.86 	193.59 	195.71 	197.58 	199.04 	199.06 	199.24 	198.41 	197.10 	196.36 	194.14 	194.37 	193.83 	193.49 	194.89 	196.39 	197.51 	198.03 	195.97 	195.00 	192.72 	190.84 	189.62 	186.94 	185.44 	187.04 	188.16 	187.91 	189.97 	189.16 	187.60 	186.61 	183.02 	180.78 	176.88 	177.54 	181.31 	179.11 	178.96 	179.04 	183.47 	182.79 	182.18 	179.88 	180.20 	177.25 	177.02 	171.16 	170.07 	170.85 
"East North Central
(SA)"	100.00 	100.82 	100.82 	101.11 	101.33 	101.61 	101.79 	102.15 	102.19 	102.46 	103.24 	103.61 	103.76 	104.38 	105.18 	105.30 	105.62 	105.75 	105.83 	106.50 	106.87 	107.71 	107.96 	108.75 	108.60 	108.38 	108.91 	109.43 	109.79 	110.69 	111.08 	111.58 	112.31 	112.52 	112.84 	113.48 	114.24 	114.35 	114.86 	115.30 	115.77 	116.35 	116.36 	116.86 	117.21 	117.68 	118.20 	118.13 	119.10 	119.57 	119.78 	120.66 	120.56 	121.55 	122.07 	122.71 	123.33 	123.64 	124.04 	124.67 	125.04 	126.09 	126.55 	127.33 	127.65 	127.77 	128.58 	128.70 	129.13 	129.05 	130.15 	130.57 	130.64 	130.86 	131.73 	131.62 	132.45 	132.78 	132.97 	133.42 	133.61 	134.19 	134.46 	135.06 	135.34 	136.35 	136.67 	136.94 	137.37 	138.01 	138.50 	139.01 	139.87 	140.56 	141.52 	141.84 	142.52 	143.57 	143.61 	144.27 	145.16 	145.45 	146.24 	147.05 	147.61 	148.15 	148.38 	149.48 	150.93 	150.34 	151.58 	152.08 	152.58 	153.53 	154.33 	154.84 	155.24 	155.67 	156.20 	157.06 	157.81 	158.30 	158.90 	159.91 	160.34 	160.91 	161.45 	161.82 	162.60 	163.51 	163.74 	164.40 	165.31 	165.81 	166.43 	166.74 	167.37 	167.95 	168.49 	169.18 	170.25 	170.39 	172.15 	172.11 	173.45 	173.56 	173.97 	174.57 	175.20 	175.79 	176.49 	177.64 	178.01 	178.75 	179.57 	180.57 	180.48 	181.83 	182.39 	182.80 	183.81 	184.28 	185.08 	185.77 	186.22 	187.41 	187.90 	188.71 	189.09 	188.53 	189.89 	190.80 	190.76 	191.85 	192.32 	192.32 	193.93 	194.77 	194.62 	195.37 	195.28 	194.89 	195.66 	196.07 	195.83 	195.26 	195.83 	195.53 	195.42 	195.50 	194.07 	195.82 	195.36 	194.77 	194.77 	194.81 	193.94 	193.92 	192.39 	192.12 	191.15 	190.42 	189.64 	188.81 	186.94 	188.17 	188.00 	186.34 	186.25 	184.99 	184.04 	183.86 	181.54 	180.69 	176.91 	179.65 	182.82 	180.06 	178.76 	177.54 	179.74 	178.64 	178.67 	177.20 	178.77 	177.32 	177.06 	173.35 	171.48 	171.64 
"East South Central
(NSA)"	100.00 	100.91 	100.89 	101.05 	101.36 	102.03 	101.88 	101.55 	101.74 	101.77 	102.96 	103.44 	103.21 	104.46 	104.22 	103.79 	104.33 	104.75 	105.54 	106.20 	106.71 	106.98 	107.00 	107.20 	107.28 	106.86 	108.31 	108.81 	109.25 	109.72 	110.21 	110.99 	111.94 	111.39 	112.34 	112.31 	112.99 	114.08 	114.19 	115.18 	115.58 	116.43 	116.43 	117.47 	116.96 	117.57 	118.09 	117.73 	117.21 	118.94 	119.43 	119.29 	119.88 	121.47 	121.83 	121.96 	122.31 	123.01 	123.26 	123.44 	123.93 	123.19 	124.51 	125.23 	126.27 	126.58 	127.38 	127.42 	127.69 	128.07 	127.84 	128.13 	128.29 	129.63 	129.52 	130.58 	130.07 	131.06 	131.34 	131.81 	131.33 	131.16 	131.70 	131.97 	132.49 	132.41 	133.57 	134.45 	135.29 	136.25 	136.10 	136.00 	137.43 	137.06 	138.13 	137.88 	138.48 	139.39 	140.00 	140.40 	141.10 	141.66 	142.08 	142.19 	142.68 	142.69 	143.35 	143.49 	144.09 	144.41 	144.71 	145.60 	146.25 	147.01 	147.40 	146.87 	146.73 	147.21 	147.60 	146.75 	147.54 	148.49 	148.63 	149.39 	150.28 	151.14 	150.81 	151.39 	151.37 	152.49 	152.16 	152.00 	152.90 	151.81 	153.63 	153.95 	154.59 	155.48 	155.49 	156.98 	156.17 	157.62 	157.01 	157.22 	157.91 	158.84 	158.92 	159.86 	160.52 	162.31 	162.49 	163.34 	163.67 	163.99 	163.42 	164.23 	164.43 	165.78 	165.62 	166.83 	168.26 	170.10 	170.91 	171.47 	171.29 	171.50 	171.63 	173.23 	172.64 	174.40 	176.28 	177.20 	178.42 	179.75 	181.19 	182.23 	182.75 	183.25 	185.46 	185.66 	187.53 	187.69 	189.34 	190.95 	192.84 	193.87 	194.45 	194.66 	194.84 	195.31 	196.06 	195.97 	195.95 	197.85 	198.70 	200.45 	201.49 	202.81 	201.59 	201.37 	201.05 	200.13 	199.98 	199.01 	196.22 	199.13 	197.59 	200.12 	200.65 	200.19 	199.20 	196.96 	196.17 	194.90 	192.19 	191.27 	192.56 	192.99 	191.10 	192.47 	193.07 	198.54 	196.06 	195.29 	192.14 	195.92 	194.60 	188.79 	188.24 	187.10 
"East South Central
(SA)"	100.00 	100.60 	100.76 	101.16 	101.20 	101.57 	101.55 	101.14 	101.20 	101.98 	102.84 	103.35 	103.29 	104.09 	104.07 	103.85 	104.19 	104.28 	105.13 	105.81 	106.27 	107.09 	106.80 	107.16 	107.40 	106.49 	108.19 	108.80 	109.12 	109.27 	109.76 	110.52 	111.58 	111.31 	112.10 	112.38 	113.17 	113.75 	114.11 	115.11 	115.45 	115.92 	115.94 	116.92 	116.64 	117.38 	117.87 	117.87 	117.40 	118.68 	119.41 	119.15 	119.69 	120.86 	121.26 	121.37 	121.98 	122.80 	123.09 	123.66 	124.16 	123.00 	124.50 	125.02 	126.00 	125.85 	126.73 	126.87 	127.36 	127.93 	127.71 	128.37 	128.52 	129.47 	129.52 	130.31 	129.70 	130.26 	130.63 	131.31 	130.99 	131.08 	131.59 	132.25 	132.73 	132.26 	133.55 	134.13 	134.83 	135.38 	135.36 	135.54 	137.09 	137.01 	138.00 	138.21 	138.68 	139.28 	139.99 	140.06 	140.56 	140.73 	141.36 	141.70 	142.36 	142.61 	143.18 	143.89 	144.27 	144.31 	144.70 	145.30 	145.70 	146.01 	146.70 	146.30 	146.42 	147.03 	147.45 	147.14 	147.71 	148.42 	148.70 	149.19 	149.75 	150.07 	150.05 	150.67 	151.03 	152.17 	152.08 	152.40 	153.16 	151.74 	153.80 	153.79 	154.11 	154.35 	154.64 	156.08 	155.77 	157.23 	157.03 	157.60 	158.28 	158.84 	159.19 	159.71 	159.99 	161.08 	161.48 	162.28 	163.20 	163.61 	163.49 	164.65 	165.03 	165.90 	165.94 	166.61 	167.59 	168.72 	169.75 	170.31 	170.74 	171.18 	171.73 	173.71 	173.49 	174.67 	176.74 	176.83 	177.49 	178.14 	179.79 	181.03 	182.14 	183.02 	185.57 	186.36 	188.67 	188.05 	189.99 	190.42 	191.58 	191.93 	192.76 	193.43 	194.16 	195.13 	196.14 	197.03 	197.30 	198.29 	199.55 	199.81 	199.92 	200.59 	199.66 	200.15 	200.31 	199.96 	200.05 	200.42 	197.68 	199.54 	198.56 	199.46 	198.97 	197.83 	197.18 	195.77 	195.38 	194.71 	192.28 	192.88 	194.09 	193.35 	192.11 	191.82 	191.38 	196.09 	194.03 	194.11 	191.32 	195.72 	194.74 	190.48 	189.76 	187.38 
"Middle Atlantic
(NSA)"	100.00 	99.95 	99.72 	99.24 	99.30 	99.14 	99.62 	99.26 	99.80 	99.29 	100.74 	100.47 	100.33 	101.41 	101.06 	100.72 	100.57 	100.83 	100.95 	101.12 	101.61 	101.75 	102.29 	101.08 	100.38 	100.12 	100.60 	101.41 	101.77 	102.14 	101.89 	102.07 	102.06 	102.02 	102.35 	101.54 	102.07 	101.08 	101.59 	101.86 	102.69 	102.69 	103.41 	102.94 	102.11 	102.38 	101.85 	100.47 	100.21 	100.64 	101.12 	101.76 	101.96 	102.36 	102.50 	103.16 	101.79 	101.43 	101.56 	101.29 	101.02 	101.06 	102.35 	102.26 	103.17 	103.37 	103.57 	103.44 	102.76 	102.51 	102.59 	102.00 	101.81 	102.26 	102.76 	103.36 	104.52 	104.70 	104.80 	105.02 	104.32 	105.33 	104.09 	104.33 	104.19 	104.45 	106.17 	106.50 	107.30 	108.78 	108.47 	109.36 	109.23 	109.00 	109.43 	109.78 	110.37 	110.18 	110.75 	111.69 	113.21 	115.12 	115.99 	116.41 	116.25 	117.27 	116.87 	117.03 	118.74 	117.76 	119.50 	120.94 	121.63 	123.71 	124.22 	124.82 	126.00 	126.10 	127.18 	127.65 	128.10 	128.42 	129.91 	130.94 	132.69 	134.87 	136.02 	137.59 	138.28 	138.60 	139.63 	139.81 	141.19 	142.04 	143.09 	144.85 	147.26 	149.43 	151.76 	152.92 	154.04 	155.26 	155.75 	157.49 	158.53 	159.75 	159.90 	162.16 	164.20 	166.19 	168.19 	170.29 	171.63 	172.39 	172.96 	175.30 	175.92 	178.06 	178.04 	181.02 	183.95 	186.81 	188.59 	190.00 	191.29 	193.62 	195.22 	196.44 	197.24 	196.39 	199.68 	202.03 	203.20 	207.58 	211.18 	212.69 	213.73 	213.89 	215.17 	215.58 	216.40 	216.10 	218.15 	219.64 	220.90 	221.93 	221.08 	222.58 	221.93 	221.96 	221.31 	220.21 	221.39 	221.18 	223.08 	225.32 	225.21 	226.26 	225.82 	225.10 	223.31 	223.37 	222.71 	223.20 	221.27 	220.85 	220.71 	219.10 	221.41 	220.41 	219.80 	218.11 	219.36 	215.86 	214.45 	211.36 	210.81 	212.99 	212.83 	211.43 	212.46 	211.87 	213.47 	213.25 	209.54 	211.89 	210.44 	210.53 	207.06 	211.83 
"Middle Atlantic
(SA)"	100.00 	99.21 	99.23 	98.84 	98.66 	98.33 	98.36 	98.05 	98.77 	98.24 	99.77 	100.05 	100.33 	100.85 	100.57 	100.18 	99.82 	99.89 	99.71 	99.93 	100.53 	100.69 	101.24 	100.71 	100.45 	99.85 	100.13 	100.81 	100.86 	101.04 	100.56 	100.83 	101.00 	100.98 	101.31 	101.26 	102.24 	101.05 	101.16 	101.19 	101.63 	101.40 	101.96 	101.56 	101.09 	101.38 	100.92 	100.27 	100.45 	100.80 	100.72 	101.08 	100.81 	100.88 	100.94 	101.63 	100.80 	100.49 	100.80 	101.16 	101.29 	101.30 	101.98 	101.60 	101.98 	101.72 	101.92 	101.82 	101.79 	101.61 	101.97 	101.89 	102.02 	102.52 	102.40 	102.73 	103.37 	102.92 	103.10 	103.34 	103.29 	104.43 	103.53 	104.18 	104.29 	104.69 	105.87 	105.92 	106.24 	106.89 	106.73 	107.62 	108.07 	108.06 	108.83 	109.57 	110.34 	110.42 	110.53 	111.19 	112.22 	113.16 	114.17 	114.57 	114.90 	116.22 	116.18 	116.72 	118.55 	117.93 	119.40 	120.51 	120.68 	121.75 	122.28 	122.86 	124.42 	124.90 	126.39 	127.21 	127.79 	128.54 	129.92 	130.57 	131.73 	132.89 	133.93 	135.47 	136.46 	137.23 	138.70 	139.17 	140.78 	142.11 	143.20 	144.52 	146.21 	147.43 	149.43 	150.56 	151.98 	153.68 	154.69 	156.66 	158.08 	159.83 	160.02 	161.78 	162.97 	164.08 	165.63 	167.68 	169.38 	170.64 	171.79 	174.35 	175.41 	178.19 	178.09 	180.52 	182.44 	184.47 	185.73 	187.11 	188.94 	191.71 	193.97 	195.42 	196.73 	196.56 	199.53 	201.36 	201.33 	204.88 	207.99 	209.57 	211.32 	211.88 	213.85 	214.55 	216.00 	216.24 	217.64 	218.81 	218.65 	219.01 	217.72 	219.39 	219.65 	220.02 	220.03 	219.26 	221.20 	221.17 	222.21 	224.39 	222.73 	223.27 	222.40 	221.98 	221.18 	221.48 	221.51 	222.34 	221.27 	220.61 	219.57 	218.13 	218.89 	217.56 	216.47 	215.12 	217.38 	214.07 	213.40 	210.53 	210.96 	212.56 	211.58 	210.48 	210.00 	209.16 	210.27 	210.39 	207.69 	210.11 	209.43 	209.69 	207.32 	211.26 
"Mountain
(NSA)"	100.00 	99.53 	99.78 	100.16 	100.13 	100.99 	100.46 	101.30 	101.10 	101.83 	102.53 	102.58 	102.90 	104.01 	104.12 	104.41 	105.02 	106.18 	106.10 	107.34 	107.37 	108.56 	109.14 	109.38 	110.41 	110.51 	110.71 	112.76 	113.68 	114.99 	116.02 	117.47 	118.38 	119.17 	119.47 	120.60 	120.59 	122.54 	123.36 	124.83 	126.63 	127.67 	128.23 	129.20 	129.29 	130.38 	130.01 	130.11 	130.03 	131.15 	131.42 	132.69 	133.22 	134.80 	135.39 	135.93 	136.31 	136.14 	136.13 	137.21 	136.68 	136.95 	138.18 	139.57 	139.83 	140.90 	141.44 	141.58 	141.65 	142.26 	141.55 	141.40 	141.58 	141.96 	143.05 	144.26 	144.94 	144.98 	145.84 	146.19 	146.14 	146.17 	146.01 	146.20 	145.29 	146.90 	147.99 	149.80 	150.37 	150.87 	151.42 	152.09 	151.95 	152.87 	152.90 	153.28 	153.25 	153.96 	156.42 	156.67 	158.51 	159.34 	159.93 	160.49 	161.39 	161.68 	161.84 	161.72 	162.67 	163.27 	165.02 	166.24 	167.46 	169.32 	169.76 	170.22 	170.70 	170.51 	171.38 	171.99 	172.69 	173.49 	175.36 	176.29 	178.14 	178.84 	178.37 	179.57 	178.60 	179.11 	179.83 	180.11 	180.32 	181.36 	182.57 	183.81 	184.33 	185.67 	185.88 	188.12 	187.36 	188.58 	188.97 	189.22 	189.56 	190.74 	191.66 	193.82 	195.14 	196.45 	198.57 	198.54 	200.24 	200.38 	201.50 	203.17 	205.12 	205.30 	208.85 	210.84 	213.18 	216.49 	219.66 	220.33 	222.91 	222.70 	225.26 	226.67 	228.96 	233.12 	236.53 	240.06 	243.41 	245.35 	248.48 	250.53 	254.72 	256.62 	255.91 	260.81 	262.61 	264.89 	266.53 	268.23 	270.82 	272.55 	273.41 	274.42 	274.95 	278.32 	278.93 	278.36 	278.01 	280.64 	284.44 	286.65 	286.04 	288.10 	285.35 	287.39 	282.43 	279.17 	275.19 	274.56 	271.78 	275.36 	272.88 	271.88 	270.85 	270.82 	267.34 	264.51 	257.45 	255.39 	249.56 	247.14 	246.88 	246.11 	241.43 	243.01 	243.01 	242.79 	241.73 	241.31 	236.16 	236.90 	235.05 	225.36 	227.00 	227.90 
"Mountain
(SA)"	100.00 	98.31 	99.23 	99.66 	99.73 	99.99 	99.47 	99.97 	100.16 	100.96 	101.72 	102.12 	102.92 	103.03 	103.72 	103.85 	104.47 	105.03 	105.09 	105.93 	106.34 	107.48 	108.31 	108.85 	110.46 	109.79 	110.39 	112.11 	112.92 	113.66 	114.87 	115.91 	117.19 	117.88 	118.65 	120.06 	120.68 	122.04 	123.07 	124.00 	125.66 	126.11 	126.81 	127.49 	127.94 	128.94 	129.28 	129.55 	130.20 	130.83 	131.12 	131.71 	132.05 	133.12 	133.72 	134.13 	134.87 	134.66 	135.48 	136.72 	136.89 	136.78 	137.82 	138.46 	138.45 	139.12 	139.60 	139.73 	140.16 	140.82 	140.94 	140.97 	141.78 	141.90 	142.57 	143.08 	143.39 	143.08 	143.90 	144.33 	144.66 	144.80 	145.40 	145.85 	145.43 	146.90 	147.37 	148.55 	148.64 	148.85 	149.44 	150.21 	150.44 	151.61 	152.24 	152.93 	153.32 	153.97 	155.65 	155.37 	156.64 	157.16 	157.88 	158.54 	159.87 	160.47 	161.10 	161.36 	162.68 	163.21 	164.15 	164.88 	165.50 	166.99 	167.61 	168.20 	169.10 	169.36 	170.58 	171.55 	172.65 	173.35 	174.39 	174.83 	176.17 	176.39 	176.05 	177.53 	176.90 	177.99 	178.97 	179.63 	180.24 	181.12 	181.54 	182.26 	182.37 	183.24 	183.40 	186.08 	185.47 	187.47 	188.06 	188.69 	189.48 	190.39 	190.55 	192.16 	193.11 	193.98 	195.86 	196.46 	198.21 	199.15 	200.51 	202.67 	205.14 	204.86 	207.60 	208.96 	210.91 	213.77 	216.68 	218.00 	220.65 	221.33 	224.15 	226.26 	229.23 	232.53 	235.05 	237.86 	240.77 	242.02 	245.07 	247.66 	252.34 	255.05 	254.64 	260.74 	263.30 	264.09 	264.83 	265.72 	267.73 	268.49 	269.62 	270.81 	272.75 	276.66 	277.54 	278.80 	279.19 	279.58 	282.63 	283.96 	282.63 	283.36 	281.26 	283.09 	280.71 	277.45 	273.78 	275.51 	273.33 	274.20 	271.16 	269.28 	267.51 	266.06 	263.38 	260.12 	256.24 	253.84 	248.26 	248.31 	248.60 	244.96 	239.87 	240.64 	240.00 	238.33 	238.07 	237.08 	235.19 	235.53 	233.81 	226.58 	228.73 	226.73 
"New England
(NSA)"	100.00 	101.55 	101.30 	100.39 	99.32 	98.76 	98.40 	97.79 	99.01 	98.59 	98.38 	98.64 	99.30 	99.31 	98.85 	97.49 	96.74 	96.85 	96.65 	97.63 	97.68 	97.73 	98.50 	97.26 	95.70 	94.18 	95.11 	96.20 	95.84 	97.09 	96.74 	96.67 	96.48 	95.73 	96.75 	96.46 	95.92 	95.78 	96.91 	96.20 	96.81 	98.25 	97.50 	97.08 	97.12 	96.79 	97.05 	96.97 	96.00 	95.03 	96.27 	96.79 	97.18 	97.51 	98.38 	97.92 	97.84 	97.75 	97.39 	97.08 	98.44 	98.27 	97.97 	98.81 	99.94 	100.68 	100.54 	100.51 	100.71 	100.02 	99.88 	100.12 	100.26 	99.33 	100.42 	102.67 	102.42 	103.66 	103.55 	104.24 	104.18 	104.59 	105.01 	104.82 	104.09 	106.17 	106.90 	107.83 	109.19 	111.10 	111.67 	112.69 	113.10 	112.64 	113.87 	114.28 	114.95 	114.98 	116.32 	117.80 	119.41 	121.76 	122.84 	123.87 	124.48 	125.50 	124.52 	126.73 	127.77 	126.90 	129.56 	131.76 	133.72 	136.11 	137.58 	138.40 	139.94 	141.29 	141.43 	142.46 	143.53 	144.63 	146.54 	149.07 	151.13 	153.60 	155.41 	157.11 	158.38 	158.56 	158.71 	160.16 	160.40 	162.78 	163.31 	167.27 	169.72 	173.50 	176.26 	176.80 	179.28 	180.37 	180.90 	181.58 	181.81 	182.43 	185.70 	188.64 	189.78 	192.04 	193.70 	194.70 	198.24 	198.60 	199.18 	201.59 	201.93 	202.31 	204.91 	208.07 	211.47 	214.14 	216.62 	217.52 	220.01 	220.32 	219.58 	220.81 	221.71 	223.54 	226.45 	229.03 	232.72 	233.17 	235.43 	235.05 	237.19 	235.36 	235.43 	231.20 	233.76 	233.30 	235.39 	235.13 	236.76 	236.76 	235.16 	234.35 	233.00 	231.27 	231.21 	228.97 	229.71 	228.17 	231.53 	232.19 	233.32 	232.92 	231.75 	230.22 	227.43 	227.33 	224.18 	225.68 	220.79 	224.76 	224.36 	221.63 	221.06 	221.56 	218.62 	217.45 	215.89 	215.18 	210.76 	211.48 	214.41 	218.42 	214.54 	216.88 	212.71 	214.53 	213.00 	211.48 	211.59 	213.78 	210.62 	210.10 	209.04 	206.57 
"New England
(SA)"	100.00 	101.02 	101.01 	100.07 	98.94 	98.16 	98.02 	97.14 	98.22 	98.35 	97.99 	97.89 	99.38 	98.82 	98.52 	97.20 	96.50 	96.20 	96.21 	96.95 	96.88 	97.44 	98.05 	96.56 	95.78 	93.89 	94.87 	95.99 	95.62 	96.31 	96.13 	95.94 	95.70 	95.35 	96.26 	95.87 	96.01 	95.72 	96.86 	96.05 	96.52 	97.27 	96.68 	96.26 	96.31 	96.36 	96.57 	96.53 	96.08 	95.19 	96.42 	96.74 	96.75 	96.35 	97.38 	96.97 	96.99 	97.30 	96.98 	96.78 	98.55 	98.59 	98.28 	98.79 	99.39 	99.36 	99.37 	99.41 	99.80 	99.49 	99.55 	99.97 	100.38 	99.76 	100.84 	102.69 	101.82 	102.23 	102.27 	102.99 	103.16 	103.92 	104.74 	104.78 	104.26 	106.74 	107.43 	107.83 	108.56 	109.55 	110.22 	111.24 	111.91 	111.80 	113.59 	114.32 	115.26 	115.73 	116.90 	117.79 	118.78 	120.05 	121.16 	122.23 	123.05 	124.44 	124.22 	126.80 	128.28 	127.90 	130.20 	131.66 	133.05 	134.25 	135.59 	136.60 	138.17 	140.00 	141.14 	142.54 	144.26 	145.90 	147.23 	148.84 	150.34 	151.57 	153.09 	155.18 	156.20 	157.07 	158.46 	160.31 	161.32 	164.30 	164.03 	166.88 	168.66 	171.31 	173.61 	174.76 	176.69 	178.76 	180.69 	181.85 	182.94 	184.12 	186.33 	188.08 	188.32 	189.63 	190.82 	192.61 	195.44 	197.08 	199.01 	202.10 	203.16 	204.13 	205.26 	207.24 	209.45 	211.42 	213.53 	215.33 	217.23 	218.99 	219.55 	221.54 	222.92 	225.37 	226.32 	227.94 	230.14 	230.07 	232.30 	232.86 	234.78 	234.26 	235.64 	232.16 	234.73 	234.89 	234.74 	233.67 	233.89 	233.54 	232.36 	232.42 	231.29 	230.35 	231.66 	229.94 	230.31 	229.37 	230.44 	230.45 	230.48 	229.69 	229.33 	228.61 	226.34 	226.46 	224.75 	226.60 	221.04 	225.60 	223.03 	219.62 	218.48 	218.54 	216.62 	216.24 	215.29 	214.24 	211.41 	212.16 	214.40 	218.96 	213.13 	214.74 	210.40 	211.66 	211.26 	210.52 	211.19 	212.72 	211.33 	210.68 	208.88 	206.86 
