Country,Population,Meth EM,Elec Acc,CO2 em
Afghanistan,331384,0,30,0.290025232
Albania,35134,2516.7,0,1.359638594
Algeria,427575,46328.8,99.3,3.331511849
American Samoa,613,0,0,0
Andorra,871,0,0,6.636720705
Angola,231339,17292.8,40.2,1.555965628
Antigua and Barbuda,990,0,0,5.88515814
Argentina,456521,97702.1,97.2,4.47096499
Armenia,32990,3234.9,0,1.424235767
Aruba,114,0,0,22.84723958
Australia,252040,122156.8,0,16.9080221
Austria,94027,8294.2,0,7.973648029
Azerbaijan,103306,16939.1,0,5.050748857
Bahrain,14643,3176.4,99.4,19.33835286
Bangladesh,1718837,97828.3,46.5,0.371563901
Barbados,3147,0,0,5.361952382
Belarus,105156,15344.2,0,6.556549631
Belgium,123802,9515.5,0,9.999147361
Belize,3601,0,0,1.366532186
Benin,111674,7086.6,27.9,0.545627257
Bermuda,720,0,0,7.320035624
Bhutan,8242,0,0,0.664924073
Bolivia,116625,21003,80.2,1.521808822
Bosnia and Herzegovina,42599,3037.4,0,8.093102083
Botswana,22266,3875.5,45.4,2.657137083
Brazil,2207289,421313.4,98.7,2.150268044
Brunei Darussalam,4580,4617.1,99.7,22.86788543
Bulgaria,81163,12280.2,0,5.930052325
Burkina Faso,182890,0,14.6,0.108309024
Burundi,109440,0,0,0.03336253
Cambodia,165163,32658.4,31.1,0.291012884
Cameroon,241107,19927.3,48.7,0.350798617
Canada,387561,106208.6,0,14.62607313
Cape Verde,5493,0,0,0.729487839
Caribbean small states,77431,14839.5,0,9.87885526
Cayman Islands,640,0,0,10.63587887
Central African Republic,50280,0,0,0.060696275
Chad,138313,0,0,0.040046478
Channel Islands,1792,0,0,0
Chile,194053,17989.4,99.4,4.213121459
China,15007722,1537239.6,99.7,6.194857575
Colombia,530049,63053.2,97.4,1.629451505
Comoros,7972,0,0,0.203996305
Costa Rica,53392,2167.9,99.2,1.664003675
Cote d'Ivoire,220442,14486.6,58.9,0.305895928
Croatia,47411,4853.3,0,4.727141337
Cuba,125233,8413.1,97,3.400544489
Curacao,1688,0,0,0
Cyprus,12544,614.2,0,6.983907546
Czech Republic,116831,11850.4,0,10.62300709
Denmark,62116,7864.1,0,8.346404977
Djibouti,9552,0,0,0.646313828
Dominica,796,0,0,1.906487557
Dominican Republic,114185,6733.1,96.9,2.092908442
Ecuador,172136,14776.4,92.2,2.175597851
El Salvador,69971,3127.7,91.6,1.004884536
Equatorial Guinea,8181,0,0,6.721220627
Eritrea,68121,2774.7,32,0.089420969
Estonia,14882,2252,0,13.68392827
Ethiopia,1019209,60262.1,23,0.07456497
Faeroe Islands,550,0,0,14.3481979
Fiji,9719,0,0,1.499936669
Finland,60159,9506.7,0,11.53084023
France,729963,82878.1,0,5.555374121
French Polynesia,3042,0,0,3.296763845
Gabon,18140,5247.8,60,1.654156027
Georgia,50131,4708.2,0,1.401642562
Germany,909887,57614,0,9.114841508
Ghana,281850,22497.5,60.5,0.370887966
Greece,125335,8202.6,0,7.668998511
Greenland,632,0,0,11.14824708
Grenada,1172,0,0,2.487241705
Guam,1809,0,0,0
Guatemala,167587,6365.4,80,0.775252594
Guinea,127236,0,0,0.113624058
Guinea-Bissau,18484,0,0,0.150227779
Guyana,8837,0,0,2.164396038
Haiti,113042,4492.1,20,0.214171416
Honduras,88176,5418,79.9,1.063839388
Hungary,110486,7389,0,5.058248166
Iceland,3557,367.2,0,6.168528586
India,13740964,606197.6,75,1.666209247
Indonesia,2742935,210873.4,73,1.803206699
Iraq,361980,22640,98,3.703432682
Ireland,50987,14415.1,0,8.939752671
Isle of Man,948,0,0,0
Israel,87866,3915.3,99.7,9.268030327
Italy,676866,37339.7,0,6.717667455
Jamaica,30134,1330.9,92,2.64992744
Japan,1417350,40956.9,0,9.185650865
Jordan,70200,2204.6,99.4,3.443801852
