year,bus,paratransit,rail,total
1988,430089500,435400,174436000,604960900
1989,420572700,924800,168658800,590156300
1990,421183734,930802,165732575,587847111
1991,392088602,949460,147608116,540646178
1992,370335119,1011669,137372830,508719618
1993,326655953,1167904,135369734,463193591
1994,331520700,1209900,143579100,476309700
1995,306075585,1270274,135461619,442807478
1996,302115116,1244209,142040486,445399811
1997,287628293,1235085,151010374,439873752
1998,290530719,1209756,153572705,445313180
1999,299058490,1199772,166477141,466735403
2000,302089554,1246516,176250504,479586574
2001,301690748,1437883,181692315,484820946
2002,303295027,1530391,180399630,485225048
2003,291804434,1803397,181135094,474742925
2004,294030775,2203730,178716456,474950961
2005,303244197,2401397,186759524,492405118
2006,298433228,1200685,195169310,494803223
2007,309271311,0,190272997,499544308
2008,328199225,0,198137245,526336470
2009,318672798,0,202569038,521241836
2010,306023976,0,210849081,516873057
2011,310373063,0,221587190,531960253
2012,314423578,0,231154339,545577917
