Week	feels right	feels wrong
2004-01-04 - 2004-01-10	80	0
2004-01-11 - 2004-01-17	61	0
2004-01-18 - 2004-01-24	100	0
2004-01-25 - 2004-01-31	90	0
2004-02-01 - 2004-02-07	63	0
2004-02-08 - 2004-02-14	91	0
2004-02-15 - 2004-02-21	84	0
2004-02-22 - 2004-02-28	71	0
2004-02-29 - 2004-03-06	56	0
2004-03-07 - 2004-03-13	56	0
2004-03-14 - 2004-03-20	56	0
2004-03-21 - 2004-03-27	47	0
2004-03-28 - 2004-04-03	47	0
2004-04-04 - 2004-04-10	55	0
2004-04-11 - 2004-04-17	53	0
2004-04-18 - 2004-04-24	53	0
2004-04-25 - 2004-05-01	53	0
2004-05-02 - 2004-05-08	44	0
2004-05-09 - 2004-05-15	44	0
2004-05-16 - 2004-05-22	44	0
2004-05-23 - 2004-05-29	46	0
2004-05-30 - 2004-06-05	48	0
2004-06-06 - 2004-06-12	50	0
2004-06-13 - 2004-06-19	52	0
2004-06-20 - 2004-06-26	0	0
2004-06-27 - 2004-07-03	0	0
2004-07-04 - 2004-07-10	0	0
2004-07-11 - 2004-07-17	0	0
2004-07-18 - 2004-07-24	0	0
2004-07-25 - 2004-07-31	0	0
2004-08-01 - 2004-08-07	0	0
2004-08-08 - 2004-08-14	0	0
2004-08-15 - 2004-08-21	60	0
2004-08-22 - 2004-08-28	41	0
2004-08-29 - 2004-09-04	41	0
2004-09-05 - 2004-09-11	48	0
2004-09-12 - 2004-09-18	35	0
2004-09-19 - 2004-09-25	0	0
2004-09-26 - 2004-10-02	0	0
2004-10-03 - 2004-10-09	0	0
2004-10-10 - 2004-10-16	0	0
2004-10-17 - 2004-10-23	0	0
2004-10-24 - 2004-10-30	52	0
2004-10-31 - 2004-11-06	53	0
2004-11-07 - 2004-11-13	55	0
2004-11-14 - 2004-11-20	56	0
2004-11-21 - 2004-11-27	38	0
2004-11-28 - 2004-12-04	35	0
2004-12-05 - 2004-12-11	48	0
2004-12-12 - 2004-12-18	46	0
2004-12-19 - 2004-12-25	46	0
2004-12-26 - 2005-01-01	47	0
2005-01-02 - 2005-01-08	48	0
2005-01-09 - 2005-01-15	30	0
2005-01-16 - 2005-01-22	37	0
2005-01-23 - 2005-01-29	44	0
2005-01-30 - 2005-02-05	44	0
2005-02-06 - 2005-02-12	45	0
2005-02-13 - 2005-02-19	40	0
2005-02-20 - 2005-02-26	40	0
2005-02-27 - 2005-03-05	40	0
2005-03-06 - 2005-03-12	35	0
2005-03-13 - 2005-03-19	27	0
2005-03-20 - 2005-03-26	42	0
2005-03-27 - 2005-04-02	42	0
2005-04-03 - 2005-04-09	35	0
2005-04-10 - 2005-04-16	35	0
2005-04-17 - 2005-04-23	40	0
2005-04-24 - 2005-04-30	28	0
2005-05-01 - 2005-05-07	28	0
2005-05-08 - 2005-05-14	33	0
2005-05-15 - 2005-05-21	39	0
2005-05-22 - 2005-05-28	35	0
2005-05-29 - 2005-06-04	43	0
2005-06-05 - 2005-06-11	51	0
2005-06-12 - 2005-06-18	37	0
2005-06-19 - 2005-06-25	46	0
2005-06-26 - 2005-07-02	27	0
2005-07-03 - 2005-07-09	27	0
2005-07-10 - 2005-07-16	41	0
2005-07-17 - 2005-07-23	27	0
2005-07-24 - 2005-07-30	40	0
2005-07-31 - 2005-08-06	32	0
2005-08-07 - 2005-08-13	39	0
2005-08-14 - 2005-08-20	40	0
2005-08-21 - 2005-08-27	30	0
2005-08-28 - 2005-09-03	44	0
2005-09-04 - 2005-09-10	36	0
2005-09-11 - 2005-09-17	30	0
2005-09-18 - 2005-09-24	30	0
2005-09-25 - 2005-10-01	45	0
2005-10-02 - 2005-10-08	50	0
2005-10-09 - 2005-10-15	41	0
2005-10-16 - 2005-10-22	35	0
2005-10-23 - 2005-10-29	33	0
2005-10-30 - 2005-11-05	46	0
2005-11-06 - 2005-11-12	25	0
2005-11-13 - 2005-11-19	46	0
2005-11-20 - 2005-11-26	22	0
2005-11-27 - 2005-12-03	22	0
2005-12-04 - 2005-12-10	41	0
2005-12-11 - 2005-12-17	27	0
2005-12-18 - 2005-12-24	25	0
2005-12-25 - 2005-12-31	47	0
2006-01-01 - 2006-01-07	30	0
2006-01-08 - 2006-01-14	44	0
2006-01-15 - 2006-01-21	36	0
2006-01-22 - 2006-01-28	39	0
2006-01-29 - 2006-02-04	47	0
2006-02-05 - 2006-02-11	35	0
2006-02-12 - 2006-02-18	52	0
2006-02-19 - 2006-02-25	38	0
2006-02-26 - 2006-03-04	25	0
2006-03-05 - 2006-03-11	35	0
2006-03-12 - 2006-03-18	43	0
2006-03-19 - 2006-03-25	38	0
